timestamp,healthConnectId,bpm,zoneOffset,userId,requestTimestamp
1753239600000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753239600000,83,Z,anon_6ae8d0a9f84c3299,1753242259402
1753239900000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753239900000,88,Z,anon_6ae8d0a9f84c3299,1753242259402
1753240200000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753240200000,84,Z,anon_6ae8d0a9f84c3299,1753242259402
1753240500000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753240500000,97,Z,anon_6ae8d0a9f84c3299,1753242259402
1753240800000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753240800000,100,Z,anon_6ae8d0a9f84c3299,1753242259402
1753241100000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753241100000,73,Z,anon_6ae8d0a9f84c3299,1753242259402
1753241400000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753241400000,83,Z,anon_6ae8d0a9f84c3299,1753242259402
1753239600000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753239600000,83,Z,anon_6ae8d0a9f84c3299,1753242289414
1753239900000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753239900000,88,Z,anon_6ae8d0a9f84c3299,1753242289414
1753240200000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753240200000,84,Z,anon_6ae8d0a9f84c3299,1753242289414
1753240500000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753240500000,97,Z,anon_6ae8d0a9f84c3299,1753242289414
1753240800000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753240800000,100,Z,anon_6ae8d0a9f84c3299,1753242289414
1753241100000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753241100000,73,Z,anon_6ae8d0a9f84c3299,1753242289414
1753241400000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753241400000,83,Z,anon_6ae8d0a9f84c3299,1753242289414
1753239600000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753239600000,83,Z,anon_6ae8d0a9f84c3299,1753242319440
1753239900000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753239900000,88,Z,anon_6ae8d0a9f84c3299,1753242319440
1753240200000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753240200000,84,Z,anon_6ae8d0a9f84c3299,1753242319440
1753240500000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753240500000,97,Z,anon_6ae8d0a9f84c3299,1753242319440
1753240800000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753240800000,100,Z,anon_6ae8d0a9f84c3299,1753242319440
1753241100000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753241100000,73,Z,anon_6ae8d0a9f84c3299,1753242319440
1753241400000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753241400000,83,Z,anon_6ae8d0a9f84c3299,1753242319440
1753239600000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753239600000,83,Z,anon_6ae8d0a9f84c3299,1753242349407
1753239900000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753239900000,88,Z,anon_6ae8d0a9f84c3299,1753242349407
1753240200000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753240200000,84,Z,anon_6ae8d0a9f84c3299,1753242349407
1753240500000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753240500000,97,Z,anon_6ae8d0a9f84c3299,1753242349407
1753240800000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753240800000,100,Z,anon_6ae8d0a9f84c3299,1753242349407
1753241100000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753241100000,73,Z,anon_6ae8d0a9f84c3299,1753242349407
1753241400000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753241400000,83,Z,anon_6ae8d0a9f84c3299,1753242349407
1753239600000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753239600000,83,Z,anon_6ae8d0a9f84c3299,1753242354859
1753239900000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753239900000,88,Z,anon_6ae8d0a9f84c3299,1753242354859
1753240200000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753240200000,84,Z,anon_6ae8d0a9f84c3299,1753242354859
1753240500000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753240500000,97,Z,anon_6ae8d0a9f84c3299,1753242354859
1753240800000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753240800000,100,Z,anon_6ae8d0a9f84c3299,1753242354859
1753241100000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753241100000,73,Z,anon_6ae8d0a9f84c3299,1753242354859
1753241400000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753241400000,83,Z,anon_6ae8d0a9f84c3299,1753242354859
1753239600000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753239600000,83,Z,anon_6ae8d0a9f84c3299,1753242474563
1753239900000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753239900000,88,Z,anon_6ae8d0a9f84c3299,1753242474563
1753240200000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753240200000,84,Z,anon_6ae8d0a9f84c3299,1753242474563
1753240500000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753240500000,97,Z,anon_6ae8d0a9f84c3299,1753242474563
1753240800000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753240800000,100,Z,anon_6ae8d0a9f84c3299,1753242474563
1753241100000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753241100000,73,Z,anon_6ae8d0a9f84c3299,1753242474563
1753241400000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753241400000,83,Z,anon_6ae8d0a9f84c3299,1753242474563
1753239600000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753239600000,83,Z,anon_6ae8d0a9f84c3299,1753242504591
1753239900000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753239900000,88,Z,anon_6ae8d0a9f84c3299,1753242504591
1753240200000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753240200000,84,Z,anon_6ae8d0a9f84c3299,1753242504591
1753240500000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753240500000,97,Z,anon_6ae8d0a9f84c3299,1753242504591
1753240800000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753240800000,100,Z,anon_6ae8d0a9f84c3299,1753242504591
1753241100000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753241100000,73,Z,anon_6ae8d0a9f84c3299,1753242504591
1753241400000,fbf0bd41-2d14-47ee-8517-0253c7f604b2_1753241400000,83,Z,anon_6ae8d0a9f84c3299,1753242504591
