timestamp,x,y,z,userId,requestTimestamp
1753242229415,-0.45968673,7.2209125,0.92895025,anon_6ae8d0a9f84c3299,1753242259402
1753242230506,-0.61291564,-5.0278234,0.62249243,anon_6ae8d0a9f84c3299,1753242259402
1753242231281,-0.61291564,-12.382812,0.31603462,anon_6ae8d0a9f84c3299,1753242259402
1753242232290,-0.61291564,-12.382812,0.31603462,anon_6ae8d0a9f84c3299,1753242259402
1753242234524,-0.61291564,-12.382812,0.31603462,anon_6ae8d0a9f84c3299,1753242259402
1753242235137,-0.45968673,-14.834474,0.31603462,anon_6ae8d0a9f84c3299,1753242259402
1753242235894,-0.30645782,2.327164,0.009576807,anon_6ae8d0a9f84c3299,1753242259402
1753242236521,-0.30645782,14.5759,1.2354081,anon_6ae8d0a9f84c3299,1753242259402
1753242237389,-0.30645782,17.027563,2.1547816,anon_6ae8d0a9f84c3299,1753242259402
1753242238418,-0.30645782,-9.931149,1.388637,anon_6ae8d0a9f84c3299,1753242259402
1753242239644,-0.30645782,4.7788267,0.62249243,anon_6ae8d0a9f84c3299,1753242259402
1753242240406,-0.30645782,4.7788267,0.62249243,anon_6ae8d0a9f84c3299,1753242259402
1753242241542,-0.30645782,4.7788267,0.62249243,anon_6ae8d0a9f84c3299,1753242259402
1753242242273,-1.685518,14.729129,0.009576807,anon_6ae8d0a9f84c3299,1753242259402
1753242243291,1.9919758,-17.353174,0.009576807,anon_6ae8d0a9f84c3299,1753242259402
1753242244289,2.9113493,4.7022123,1.2258313,anon_6ae8d0a9f84c3299,1753242259402
1753242245393,-0.61291564,-9.931149,1.2354081,anon_6ae8d0a9f84c3299,1753242259402
1753242246287,-0.45968673,-12.373235,0.009576807,anon_6ae8d0a9f84c3299,1753242259402
1753242247268,-0.61291564,-9.911995,0.009576807,anon_6ae8d0a9f84c3299,1753242259402
1753242248417,-0.45968673,9.691729,0.009576807,anon_6ae8d0a9f84c3299,1753242259402
1753242249793,-0.45968673,14.595054,1.2354081,anon_6ae8d0a9f84c3299,1753242259402
1753242250508,-0.45968673,-7.469909,1.541866,anon_6ae8d0a9f84c3299,1753242259402
1753242251269,-0.45968673,12.152967,0.92895025,anon_6ae8d0a9f84c3299,1753242259402
1753242252540,-0.30645782,7.240066,1.541866,anon_6ae8d0a9f84c3299,1753242259402
