id,sessionId,type,startTime,endTime,userId,requestTimestamp
1246,d439837e-a522-4d9c-a10a-ce6d412313df,4,2025-07-21T07:46:00Z,2025-07-21T08:57:00Z,anon_6ae8d0a9f84c3299,1753242259402
1247,d439837e-a522-4d9c-a10a-ce6d412313df,5,2025-07-21T08:57:00Z,2025-07-21T09:29:00Z,anon_6ae8d0a9f84c3299,1753242259402
1248,d439837e-a522-4d9c-a10a-ce6d412313df,4,2025-07-21T09:29:00Z,2025-07-21T09:45:00Z,anon_6ae8d0a9f84c3299,1753242259402
1249,d439837e-a522-4d9c-a10a-ce6d412313df,1,2025-07-21T09:50:00Z,2025-07-21T10:04:00Z,anon_6ae8d0a9f84c3299,1753242259402
1250,d439837e-a522-4d9c-a10a-ce6d412313df,4,2025-07-21T10:04:00Z,2025-07-21T10:32:00Z,anon_6ae8d0a9f84c3299,1753242259402
1251,d439837e-a522-4d9c-a10a-ce6d412313df,4,2025-07-21T07:46:00Z,2025-07-21T08:57:00Z,anon_6ae8d0a9f84c3299,1753242289414
1252,d439837e-a522-4d9c-a10a-ce6d412313df,5,2025-07-21T08:57:00Z,2025-07-21T09:29:00Z,anon_6ae8d0a9f84c3299,1753242289414
1253,d439837e-a522-4d9c-a10a-ce6d412313df,4,2025-07-21T09:29:00Z,2025-07-21T09:45:00Z,anon_6ae8d0a9f84c3299,1753242289414
1254,d439837e-a522-4d9c-a10a-ce6d412313df,1,2025-07-21T09:50:00Z,2025-07-21T10:04:00Z,anon_6ae8d0a9f84c3299,1753242289414
1255,d439837e-a522-4d9c-a10a-ce6d412313df,4,2025-07-21T10:04:00Z,2025-07-21T10:32:00Z,anon_6ae8d0a9f84c3299,1753242289414
1256,d439837e-a522-4d9c-a10a-ce6d412313df,4,2025-07-21T07:46:00Z,2025-07-21T08:57:00Z,anon_6ae8d0a9f84c3299,1753242319440
1257,d439837e-a522-4d9c-a10a-ce6d412313df,5,2025-07-21T08:57:00Z,2025-07-21T09:29:00Z,anon_6ae8d0a9f84c3299,1753242319440
1258,d439837e-a522-4d9c-a10a-ce6d412313df,4,2025-07-21T09:29:00Z,2025-07-21T09:45:00Z,anon_6ae8d0a9f84c3299,1753242319440
1259,d439837e-a522-4d9c-a10a-ce6d412313df,1,2025-07-21T09:50:00Z,2025-07-21T10:04:00Z,anon_6ae8d0a9f84c3299,1753242319440
1260,d439837e-a522-4d9c-a10a-ce6d412313df,4,2025-07-21T10:04:00Z,2025-07-21T10:32:00Z,anon_6ae8d0a9f84c3299,1753242319440
1261,d439837e-a522-4d9c-a10a-ce6d412313df,4,2025-07-21T07:46:00Z,2025-07-21T08:57:00Z,anon_6ae8d0a9f84c3299,1753242349407
1262,d439837e-a522-4d9c-a10a-ce6d412313df,5,2025-07-21T08:57:00Z,2025-07-21T09:29:00Z,anon_6ae8d0a9f84c3299,1753242349407
1263,d439837e-a522-4d9c-a10a-ce6d412313df,4,2025-07-21T09:29:00Z,2025-07-21T09:45:00Z,anon_6ae8d0a9f84c3299,1753242349407
1264,d439837e-a522-4d9c-a10a-ce6d412313df,1,2025-07-21T09:50:00Z,2025-07-21T10:04:00Z,anon_6ae8d0a9f84c3299,1753242349407
1265,d439837e-a522-4d9c-a10a-ce6d412313df,4,2025-07-21T10:04:00Z,2025-07-21T10:32:00Z,anon_6ae8d0a9f84c3299,1753242349407
1266,d439837e-a522-4d9c-a10a-ce6d412313df,4,2025-07-21T07:46:00Z,2025-07-21T08:57:00Z,anon_6ae8d0a9f84c3299,1753242354859
1267,d439837e-a522-4d9c-a10a-ce6d412313df,5,2025-07-21T08:57:00Z,2025-07-21T09:29:00Z,anon_6ae8d0a9f84c3299,1753242354859
